Livello1;Super Gruppo - Livello2;Nome Gruppo - Livello 3;Risonanze - Livello 4;Descrizione;Immagine
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 1 tappetino pancia;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 1 fascia testa;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 1 tappetino punto del corpo;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 1 tappetino cuore e pancia;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 1 tappetino cuore e testa;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 1 tappetino pancia e testa;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 2 tappetino cuore e pancia;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 2 tappetino cuore e testa;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 2 tappetino pancia e testa;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 2 tappetino cuore e punto del corpo;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 2 tappetino testa e punto del corpo;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 2 tappetino pancia e punto del corpo;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 2 tappetini punti del corpo;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 2 piastra piedi 2 elettrodi;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 3 piastra piedi 1 elettrodo;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 3 elettrodo mano;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 3 fascia testa;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 3 tappetino di ascolto del corpo;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 3 tappetino cuore;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Setup 3 tappetino pancia;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Applicatori;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Fascia testa Flessibile e Conduttiva;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Tappetino Flessibile e conduttivo;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Pedana in Acciaio Inossidabile;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Elettrodi in Acciao Inossidabile per Stimolazione con colori;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Occhiali a LED Mind Resonator;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Disco Magnetico;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;BioResonator;;
Modulo CIEM;Sistemi CIEM;Sistema BioRisonanza BRS;Frequency Generator;;
Modulo CIEM;Trattamento DNA;;;;
Modulo CIEM;Trattamento DNA;DNA - Unghia;;;
Modulo CIEM;Trattamento DNA;DNA - Unghia;DNA - Unghia - Suono;;
Modulo CIEM;Trattamento DNA;DNA - Unghia;DNA - Unghia - Campo Elettrico;;
Modulo CIEM;Trattamento DNA;DNA - Unghia;DNA - Unghia - Campo Luminoso ;;
Modulo CIEM;Trattamento DNA;DNA - Unghia;DNA - Unghia - Campo Luminoso Infrarosso;;
Modulo CIEM;Trattamento DNA;DNA - Unghia;DNA - Unghia - Campo Magnetico;;
Modulo CIEM;Trattamento DNA;DNA - Capello;;;
Modulo CIEM;Trattamento DNA;DNA - Capello;DNA - Capello - Suono;;
Modulo CIEM;Trattamento DNA;DNA - Capello;DNA - Capello - Campo Elettrico;;
Modulo CIEM;Trattamento DNA;DNA - Capello;DNA - Capello - Campo Luminoso;;
Modulo CIEM;Trattamento DNA;DNA - Capello;DNA - Capello - Campo Luminoso Infrarosso;;
Modulo CIEM;Trattamento DNA;DNA - Capello;DNA - Capello - Campo Magnetico;;
Modulo CIEM;Trattamento DNA;DNA - Lacrima;;;
Modulo CIEM;Trattamento DNA;DNA - Lacrima;DNA - Lacrima - Suono;;
Modulo CIEM;Trattamento DNA;DNA - Lacrima;DNA - Lacrima - Campo Elettrico;;
Modulo CIEM;Trattamento DNA;DNA - Lacrima;DNA - Lacrima - Campo Luminoso;;
Modulo CIEM;Trattamento DNA;DNA - Lacrima;DNA - Lacrima - Campo Luminoso Infrarosso;;
Modulo CIEM;Trattamento DNA;DNA - Lacrima;DNA - Lacrima - Campo Magnetico;;
Modulo CIEM;Trattamento DNA;DNA - Goccia Sangue;;;
Modulo CIEM;Trattamento DNA;DNA - Goccia Sangue;DNA - Goccia Sangue - Suono;;
Modulo CIEM;Trattamento DNA;DNA - Goccia Sangue;DNA - Goccia Sangue - Campo Elettrico;;
Modulo CIEM;Trattamento DNA;DNA - Goccia Sangue;DNA - Goccia Sangue - Campo Luminoso;;
Modulo CIEM;Trattamento DNA;DNA - Goccia Sangue;DNA - Goccia Sangue - Campo Luminoso Infrarosso;;
Modulo CIEM;Trattamento DNA;DNA - Goccia Sangue;DNA - Goccia Sangue - Campo Magnetico;;
Modulo CIEM;Trattamento DNA;DNA - Saliva;;;
Modulo CIEM;Trattamento DNA;DNA - Saliva;DNA - Saliva - Suono;;
Modulo CIEM;Trattamento DNA;DNA - Saliva;DNA - Saliva - Campo Elettrico;;
Modulo CIEM;Trattamento DNA;DNA - Saliva;DNA - Saliva - Campo Luminoso;;
Modulo CIEM;Trattamento DNA;DNA - Saliva;DNA - Saliva - Campo Luminoso Infrarosso;;
Modulo CIEM;Trattamento DNA;DNA - Saliva;DNA - Saliva - Campo Magnetico;;
Modulo CIEM;Acqua Informata;;;;
Modulo CIEM;Acqua Informata;Acqua informata;;;
Modulo CIEM;Acqua Informata;Acqua informata;acqua informata pura;;
Modulo CIEM;Acqua Informata;Acqua informata;acqua informata con energia elettrica;;
Modulo CIEM;Acqua Informata;Acqua informata;acqua informata con energia magnetica;;
Modulo CIEM;Acqua Informata;Acqua informata;acqua informata con il energia sonora;;
Modulo CIEM;Acqua Informata;Acqua informata;acqua informata con energia luminosa;;
Modulo CIEM;Acqua Informata;Acqua Informata Alcool;;;
Modulo CIEM;Acqua Informata;Acqua Informata Alcool;Acqua Informata Alcool;;
Modulo CIEM;Acqua Informata;Acqua Informata con Colloidi ;;;
Modulo CIEM;Acqua Informata;Acqua Informata con Colloidi ;Acqua Informata Argento Colloidale;;
Modulo CIEM;Acqua Informata;Acqua Informata con Colloidi ;Acqua Informata Oro Colloidale;;
Modulo CIEM;Acqua Informata;Acqua Informata con Colloidi ;Acqua Informata Rame Colloidale;;
Modulo CIEM;Acqua Informata;Acqua Informata con Colloidi ;Acqua Informata Ferro Colloidale;;
Modulo CIEM;Acqua Informata;Acqua Informata con Colloidi ;Acqua Informata Silicio Colloidale;;
Modulo CIEM;Acqua Informata;Acqua Informata con Colloidi ;Acqua Informata Zinco Colloidale;;
Modulo CIEM;Chakra Setup / prana Setup;;;;
Modulo CIEM;Chakra Setup / prana Setup;da sviluppare con due tappetini a ponte fra i chakra sia anteriori che posteriori;;;
Modulo CIEM;Chakra Setup / prana Setup;da sviluppare con due tappetini a ponte fra i chakra sia anteriori che posteriori;Tappetino 1° Chakra Anteriore;;
Modulo CIEM;Chakra Setup / prana Setup;da sviluppare con due tappetini a ponte fra i chakra sia anteriori che posteriori;Tappetino 1° Chakra Posteriore;;
Modulo CIEM;Chakra Setup / prana Setup;da sviluppare con due tappetini a ponte fra i chakra sia anteriori che posteriori;Tappetino 2° Chakra Anteriore;;
Modulo CIEM;Chakra Setup / prana Setup;da sviluppare con due tappetini a ponte fra i chakra sia anteriori che posteriori;Tappetino 2° Chakra Posteriore;;
Modulo CIEM;Chakra Setup / prana Setup;da sviluppare con due tappetini a ponte fra i chakra sia anteriori che posteriori;Tappetino 3° Chakra Anteriore;;
Modulo CIEM;Chakra Setup / prana Setup;da sviluppare con due tappetini a ponte fra i chakra sia anteriori che posteriori;Tappetino 3° Chakra Posteriore;;
Modulo CIEM;Chakra Setup / prana Setup;da sviluppare con due tappetini a ponte fra i chakra sia anteriori che posteriori;Tappetino 4° Chakra Anteriore;;
Modulo CIEM;Chakra Setup / prana Setup;da sviluppare con due tappetini a ponte fra i chakra sia anteriori che posteriori;Tappetino 4° Chakra Posteriore;;
Modulo CIEM;Chakra Setup / prana Setup;da sviluppare con due tappetini a ponte fra i chakra sia anteriori che posteriori;Tappetino 5° Chakra Anteriore;;
Modulo CIEM;Chakra Setup / prana Setup;da sviluppare con due tappetini a ponte fra i chakra sia anteriori che posteriori;Tappetino 5° Chakra Posteriore;;
Modulo CIEM;Chakra Setup / prana Setup;da sviluppare con due tappetini a ponte fra i chakra sia anteriori che posteriori;Tappetino 6° Chakra Anteriore;;
Modulo CIEM;Chakra Setup / prana Setup;da sviluppare con due tappetini a ponte fra i chakra sia anteriori che posteriori;Tappetino 6° Chakra Posteriore;;
Modulo CIEM;Chakra Setup / prana Setup;da sviluppare con due tappetini a ponte fra i chakra sia anteriori che posteriori;Tappetino 7° Chakra Anteriore;;
Modulo CIEM;Chakra Setup / prana Setup;da sviluppare con due tappetini a ponte fra i chakra sia anteriori che posteriori;Tappetino 7° Chakra Posteriore;;
